DATA;LOCAL;TIME CASA;PLACAR;TIME VISITANTE
27/11/2018 - 19:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;0|3;FLUMINENSE F.C.
27/11/2018 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;2|3;HINODE BARUERI
27/11/2018 - 20:00;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;3|1;BRB/BRASILIA VOLEI
27/11/2018 - 21:30;JEUNESSE ARENA;SESC RJ;3|2;SESI VOLEI BAURU
30/11/2018 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;3|1;VOLEI BALNEARIO CAMBORIU
30/11/2018 - 20:00;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;3|1;SAO CRISTOVAO SAUDE SAO CAETANO
30/11/2018 - 20:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;2|3;SESC RJ
04/12/2018 - 21:30;JOSE CORREA;HINODE BARUERI;2|3;OSASCO VOLEIBOL CLUBE/AUDAX
08/01/2019 - 19:30;PANELA DE PRESSAO;SESI VOLEI BAURU;1|3;DENTIL/PRAIA CLUBE
08/01/2019 - 19:30;HEBRAICA;FLUMINENSE F.C.;1|3;MINAS TENIS CLUBE
13/11/2018 - 21:30;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;0|3;DENTIL/PRAIA CLUBE
06/12/2018 - 19:00;GINÁSIO COLEGIO POSITIVO JUNIOR;CURITIBA VÔLEI;1|3;SESI VOLEI BAURU
07/12/2018 - 19:15;JEUNESSE ARENA;SESC RJ;1|3;FLUMINENSE F.C.
07/12/2018 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;0|3;OSASCO VOLEIBOL CLUBE/AUDAX
07/12/2018 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;3|2;SAO CRISTOVAO SAUDE SAO CAETANO
15/01/2019 - 19:30;JOSE CORREA;HINODE BARUERI;3|2;MINAS TENIS CLUBE
11/12/2018 - 19:00;JOSE CORREA;HINODE BARUERI;3|0;SESC RJ
11/12/2018 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;3|1;VOLEI BALNEARIO CAMBORIU
11/12/2018 - 20:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;1|3;CURITIBA VÔLEI
11/12/2018 - 20:30;PANELA DE PRESSAO;SESI VOLEI BAURU;3|0;BRB/BRASILIA VOLEI
18/12/2018 - 19:30;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;0|3;MINAS TENIS CLUBE
18/12/2018 - 20:00;HEBRAICA;FLUMINENSE F.C.;0|3;DENTIL/PRAIA CLUBE
04/12/2018 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;3|0;ESPORTE CLUBE PINHEIROS
14/12/2018 - 19:00;PRAIA CLUBE;DENTIL/PRAIA CLUBE;3|0;HINODE BARUERI
14/12/2018 - 20:00;TIJUCA TENIS CLUBE;SESC RJ;3|0;OSASCO VOLEIBOL CLUBE/AUDAX
14/12/2018 - 20:00;GINÁSIO COLEGIO POSITIVO JUNIOR;CURITIBA VÔLEI;3|0;FLUMINENSE F.C.
15/12/2018 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;0|3;MINAS TENIS CLUBE
16/12/2018 - 18:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;2|3;SESI VOLEI BAURU
21/12/2018 - 19:00;JOSE LIBERATTI;OSASCO VOLEIBOL CLUBE/AUDAX;0|3;DENTIL/PRAIA CLUBE
21/12/2018 - 19:30;PANELA DE PRESSAO;SESI VOLEI BAURU;3|1;VOLEI BALNEARIO CAMBORIU
21/12/2018 - 19:30;JOSE CORREA;HINODE BARUERI;3|0;CURITIBA VÔLEI
21/12/2018 - 20:00;HENRIQUE VILLABOIN;ESPORTE CLUBE PINHEIROS;3|1;SAO CRISTOVAO SAUDE SAO CAETANO
21/12/2018 - 20:00;HEBRAICA;FLUMINENSE F.C.;3|0;BRB/BRASILIA VOLEI
21/12/2018 - 21:30;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|2;SESC RJ
04/12/2018 - 20:00;LAURO GOMES;SAO CRISTOVAO SAUDE SAO CAETANO;0|3;FLUMINENSE F.C.
18/12/2018 - 19:30;PANELA DE PRESSAO;SESI VOLEI BAURU;3|0;ESPORTE CLUBE PINHEIROS
04/01/2019 - 21:30;PRAIA CLUBE;DENTIL/PRAIA CLUBE;2|3;MINAS TENIS CLUBE
08/01/2019 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;0|3;SESC RJ
08/01/2019 - 20:00;GINÁSIO UNIVERSIDADE POSITIVO;CURITIBA VÔLEI;0|3;OSASCO VOLEIBOL CLUBE/AUDAX
08/01/2019 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;0|3;HINODE BARUERI
11/01/2019 - 19:30;JOSE CORREA;HINODE BARUERI;3|0;SAO CRISTOVAO SAUDE SAO CAETANO
11/01/2019 - 20:00;GINASIO HAMILTON LINHARES CRUZ;VOLEI BALNEARIO CAMBORIU;3|1;ESPORTE CLUBE PINHEIROS
11/01/2019 - 20:00;HEBRAICA;FLUMINENSE F.C.;0|3;SESI VOLEI BAURU
11/01/2019 - 20:00;SESI TAQUATINGA;BRB/BRASILIA VOLEI;0|3;OSASCO VOLEIBOL CLUBE/AUDAX
11/01/2019 - 21:00;ARENA MINAS TENIS CLUBE;MINAS TENIS CLUBE;3|0;CURITIBA VÔLEI
11/01/2019 - 21:30;JEUNESSE ARENA;SESC RJ;1|3;DENTIL/PRAIA CLUBE
